setid,number,numbervariant,name,year,theme,themegroup,subtheme,pieces,minifigs,image,imagefilename,thumbnailurl,largethumbnailurl,imageurl,brickseturl,released,owned,wanted,qtyowned,usernotes,acmdatacount,ownedbytotal,wantedbytotal,ukretailprice,usretailprice,caretailprice,euretailprice,usdateaddedtosah,usdateremovedfromsah,rating,reviewcount,packagingtype,availability,instructionscount,additionalimagecount,agemin,agemax,height,width,depth,weight,category,userrating,ean,upc,lastupdated
1953,4107,1,Build Your Dreams,2002,Creator,Model making,,1000,NA,true,4107-1,https://images.brickset.com/sets/small/4107-1.jpg,https://images.brickset.com/sets/small/4107-1.jpg,https://images.brickset.com/sets/images/4107-1.jpg,https://brickset.com/sets/4107-1,true,false,false,0,,0,358,58,29.99,20,NA,NA,,,3.33333333333333,3,Tub,Retail,0,0,NA,,,,,,Normal,0,,,2012-10-08T16:56:04.757
1961,4117,1,Fantastic Flyers and Cool Cars,2001,Creator,Model making,,257,2,true,4117-1,https://images.brickset.com/sets/small/4117-1.jpg,https://images.brickset.com/sets/small/4117-1.jpg,https://images.brickset.com/sets/images/4117-1.jpg,https://brickset.com/sets/4117-1,true,false,false,0,,0,72,79,NA,15,NA,NA,,,5,1,Bucket,Retail,0,0,NA,,,,,,Normal,0,,,2012-10-08T16:48:04.743
1962,4118,1,"Buildings, Mansions and Shops",2001,Creator,Model making,,361,3,true,4118-1,https://images.brickset.com/sets/small/4118-1.jpg,https://images.brickset.com/sets/small/4118-1.jpg,https://images.brickset.com/sets/images/4118-1.jpg,https://brickset.com/sets/4118-1,true,false,false,0,,0,46,77,NA,30,NA,NA,,,0,0,Bucket,Retail,0,0,NA,,,,,,Normal,0,,,2012-10-08T16:48:20.533
1963,4119,1,Regular and Transparent Bricks,2001,Creator,Model making,,234,NA,true,4119-1,https://images.brickset.com/sets/small/4119-1.jpg,https://images.brickset.com/sets/small/4119-1.jpg,https://images.brickset.com/sets/images/4119-1.jpg,https://brickset.com/sets/4119-1,true,false,false,0,,0,178,50,11.99,15,NA,NA,,,0,0,Bucket,Retail,0,0,NA,,,,,,Normal,0,,,2012-10-08T16:50:18.997
1964,4120,1,Fun and Cool Transportation,2001,Creator,Model making,,606,2,true,4120-1,https://images.brickset.com/sets/small/4120-1.jpg,https://images.brickset.com/sets/small/4120-1.jpg,https://images.brickset.com/sets/images/4120-1.jpg,https://brickset.com/sets/4120-1,true,false,false,0,,0,223,61,24.99,20,NA,NA,,,4,2,Tub,Retail - limited,0,0,NA,,,,,,Normal,0,,,2012-10-08T16:48:48.163
1965,4121,1,All Kinds of Animals,2001,Creator,Model making,,171,2,true,4121-1,https://images.brickset.com/sets/small/4121-1.jpg,https://images.brickset.com/sets/small/4121-1.jpg,https://images.brickset.com/sets/images/4121-1.jpg,https://brickset.com/sets/4121-1,true,false,false,0,,0,56,58,24.99,20,NA,NA,,,0,0,Tub,Retail,0,0,NA,,,,,,Normal,0,,,2012-10-08T16:50:47.947
1967,4124,1,Advent Calendar,2001,Creator,Model making,Seasonal,231,NA,true,4124-1,https://images.brickset.com/sets/small/4124-1.jpg,https://images.brickset.com/sets/small/4124-1.jpg,https://images.brickset.com/sets/images/4124-1.jpg,https://brickset.com/sets/4124-1,true,false,false,0,,0,160,165,NA,15,NA,NA,,,4,1,Box,Retail - limited,0,0,NA,,,,,,Normal,0,,,2012-10-03T03:57:47.16
1998,4174,1,Max Goes Flying,2001,Creator,Model making,,172,1,true,4174-1,https://images.brickset.com/sets/small/4174-1.jpg,https://images.brickset.com/sets/small/4174-1.jpg,https://images.brickset.com/sets/images/4174-1.jpg,https://brickset.com/sets/4174-1,true,false,false,0,,0,115,69,11.99,15,NA,NA,,,0,0,Box,Retail,0,0,NA,,,,,,Normal,0,,,2012-10-08T16:52:24.51
1999,4175,1,Adventures with Max and Tina,2001,Creator,Model making,,217,2,true,4175-1,https://images.brickset.com/sets/small/4175-1.jpg,https://images.brickset.com/sets/small/4175-1.jpg,https://images.brickset.com/sets/images/4175-1.jpg,https://brickset.com/sets/4175-1,true,false,false,0,,0,132,68,17.99,20,NA,NA,,,5,1,Box,Retail,0,0,NA,,,,,,Normal,0,,,2012-10-08T16:52:42.42
2000,4176,1,The Race of the Year,2001,Creator,Model making,,323,3,true,4176-1,https://images.brickset.com/sets/small/4176-1.jpg,https://images.brickset.com/sets/small/4176-1.jpg,https://images.brickset.com/sets/images/4176-1.jpg,https://brickset.com/sets/4176-1,true,false,false,0,,0,121,80,29.99,25,NA,NA,,,0,0,Box,Retail,0,0,NA,,,,,,Normal,0,,,2012-10-08T16:52:59.85
2001,4177,1,Building Stories with Nana Bird,2001,Creator,Model making,,373,3,true,4177-1,https://images.brickset.com/sets/small/4177-1.jpg,https://images.brickset.com/sets/small/4177-1.jpg,https://images.brickset.com/sets/images/4177-1.jpg,https://brickset.com/sets/4177-1,true,false,false,0,,0,85,67,34.99,30,NA,NA,,,0,0,Box,Retail,0,0,NA,,,,,,Normal,0,,,2012-10-08T16:53:17.333
2092,4400,1,Build With Bricks,2003,Creator,Model making,,705,NA,true,4400-1,https://images.brickset.com/sets/small/4400-1.jpg,https://images.brickset.com/sets/small/4400-1.jpg,https://images.brickset.com/sets/images/4400-1.jpg,https://brickset.com/sets/4400-1,true,false,false,0,,0,92,57,NA,20,NA,NA,,,0,0,Tub,Retail - limited,0,0,NA,,,,,,Normal,0,,,2012-10-08T17:03:41.217
2094,4402,1,Sea Riders,2003,Creator,Model making,Designer Set,547,NA,true,4402-1,https://images.brickset.com/sets/small/4402-1.jpg,https://images.brickset.com/sets/small/4402-1.jpg,https://images.brickset.com/sets/images/4402-1.jpg,https://brickset.com/sets/4402-1,true,false,false,0,,0,678,360,29.99,40,NA,NA,,,4,2,Box,Retail,1,0,NA,,,,,,Normal,0,,,2012-10-03T04:05:37.383
2095,4403,1,Air Blazers,2003,Creator,Model making,Designer Set,702,NA,true,4403-1,https://images.brickset.com/sets/small/4403-1.jpg,https://images.brickset.com/sets/small/4403-1.jpg,https://images.brickset.com/sets/images/4403-1.jpg,https://brickset.com/sets/4403-1,true,false,false,0,,0,624,341,34.99,50,NA,NA,,,5,5,Box,Retail,1,0,NA,,,,,,Normal,0,,,2012-10-03T04:05:53.067
2096,4404,1,Land Busters,2003,Creator,Model making,Designer Set,770,NA,true,4404-1,https://images.brickset.com/sets/small/4404-1.jpg,https://images.brickset.com/sets/small/4404-1.jpg,https://images.brickset.com/sets/images/4404-1.jpg,https://brickset.com/sets/4404-1,true,false,false,0,,0,996,540,44.99,60,NA,NA,,,4.36363636363636,11,Box,Retail,1,0,NA,,,,,,Normal,0,5702014267572,,2012-10-03T04:06:09.893
2098,4406,1,Buildings,2004,Creator,Model making,,506,NA,true,4406-1,https://images.brickset.com/sets/small/4406-1.jpg,https://images.brickset.com/sets/small/4406-1.jpg,https://images.brickset.com/sets/images/4406-1.jpg,https://brickset.com/sets/4406-1,true,false,false,0,,0,159,102,24.99,30,NA,NA,,,0,0,Box,Retail,3,0,NA,,,,,,Normal,0,,,2012-10-08T17:06:28.337
2099,4407,1,Transportation,2004,Creator,Model making,,301,NA,true,4407-1,https://images.brickset.com/sets/small/4407-1.jpg,https://images.brickset.com/sets/small/4407-1.jpg,https://images.brickset.com/sets/images/4407-1.jpg,https://brickset.com/sets/4407-1,true,false,false,0,,0,210,95,14.99,20,NA,NA,,,4,2,Box,Retail,3,0,NA,,,,,,Normal,0,,,2012-10-08T17:06:42.713
4644,4423,1,Handy Box,2005,Creator,Model making,,800,NA,true,4423-1,https://images.brickset.com/sets/small/4423-1.jpg,https://images.brickset.com/sets/small/4423-1.jpg,https://images.brickset.com/sets/images/4423-1.jpg,https://brickset.com/sets/4423-1,true,false,false,0,,0,179,84,12.99,15,NA,NA,,,4,1,Box,Retail,0,0,NA,,,,,,Normal,0,5702014450936,,2012-10-03T04:11:58.12
2157,4496,1,Fun with Building Tub,2004,Creator,Model making,,1000,NA,true,4496-1,https://images.brickset.com/sets/small/4496-1.jpg,https://images.brickset.com/sets/small/4496-1.jpg,https://images.brickset.com/sets/images/4496-1.jpg,https://brickset.com/sets/4496-1,true,false,false,0,,0,468,68,19.99,20,NA,NA,,,4.4,5,Tub,Retail,2,0,NA,,,,,,Normal,0,5702014366299,,2012-10-08T17:13:09.14
5064,4496,2,50th Anniversary Tub,2005,Creator,Model making,,1000,NA,true,4496-2,https://images.brickset.com/sets/small/4496-2.jpg,https://images.brickset.com/sets/small/4496-2.jpg,https://images.brickset.com/sets/images/4496-2.jpg,https://brickset.com/sets/4496-2,true,false,false,0,,0,428,243,19.99,20,NA,NA,,,4.33333333333333,3,Tub,Retail - limited,0,0,NA,,,,,,Normal,0,,,2012-10-08T17:15:19.667
2158,4497,1,Pretend and Create,2004,Creator,Model making,,1000,NA,true,4497-1,https://images.brickset.com/sets/small/4497-1.jpg,https://images.brickset.com/sets/small/4497-1.jpg,https://images.brickset.com/sets/images/4497-1.jpg,https://brickset.com/sets/4497-1,true,false,false,0,,0,121,66,29.99,20,NA,NA,,,0,0,Tub,Retail,0,0,NA,,,,,,Normal,0,,,2012-10-03T04:17:25.313
2165,4506,1,Deep Sea Predators,2004,Creator,Model making,Designer Set,352,NA,true,4506-1,https://images.brickset.com/sets/small/4506-1.jpg,https://images.brickset.com/sets/small/4506-1.jpg,https://images.brickset.com/sets/images/4506-1.jpg,https://brickset.com/sets/4506-1,true,false,false,0,,0,1039,550,14.99,20,NA,NA,,,3.83333333333333,6,Box,Retail,1,0,NA,,28.8,28.8,6,0.65,Normal,0,,673419034371,2012-10-03T04:18:20.287
2166,4507,1,Prehistoric Creatures,2004,Creator,Model making,Designer Set,726,NA,true,4507-1,https://images.brickset.com/sets/small/4507-1.jpg,https://images.brickset.com/sets/small/4507-1.jpg,https://images.brickset.com/sets/images/4507-1.jpg,https://brickset.com/sets/4507-1,true,false,false,0,,0,1604,570,24.99,30,NA,NA,,,4.67647058823529,34,Box,Retail,1,0,NA,,28.8,38.4,7.2,1.03,Normal,0,,673419034388,2012-10-03T04:18:35.883
2167,4508,1,Titan XP,2004,Creator,Model making,Designer Set,784,NA,true,4508-1,https://images.brickset.com/sets/small/4508-1.jpg,https://images.brickset.com/sets/small/4508-1.jpg,https://images.brickset.com/sets/images/4508-1.jpg,https://brickset.com/sets/4508-1,true,false,false,0,,0,862,570,34.99,50,NA,NA,,,4.78947368421053,19,Box,Retail,1,0,NA,,38.4,38.4,7.2,1.37,Normal,0,,673419034395,2012-10-03T04:18:56.07
2178,4524,1,Holiday Calendar,2002,Creator,Model making,Seasonal,231,NA,true,4524-1,https://images.brickset.com/sets/small/4524-1.jpg,https://images.brickset.com/sets/small/4524-1.jpg,https://images.brickset.com/sets/images/4524-1.jpg,https://brickset.com/sets/4524-1,true,false,false,0,,0,127,138,NA,15,NA,NA,,,4,1,Box,Retail - limited,0,0,NA,,,,,,Normal,0,,,2012-10-08T16:56:55.073
2278,4679,2,Bricks and Creations,2004,Creator,Model making,,1531,NA,false,NA,NA,NA,NA,https://brickset.com/sets/4679-2,true,false,false,0,,0,114,53,NA,20,NA,NA,,,4.3,10,Plastic box,Retail - limited,0,0,NA,,,,,,Normal,0,,673419058438,2015-08-30T22:25:56.18
2377,4883,1,Gear Grinders,2005,Creator,Model making,Designer Set,273,NA,true,4883-1,https://images.brickset.com/sets/small/4883-1.jpg,https://images.brickset.com/sets/small/4883-1.jpg,https://images.brickset.com/sets/images/4883-1.jpg,https://brickset.com/sets/4883-1,true,false,false,0,,0,1012,294,14.99,20,NA,NA,,,5,2,Box,Retail,1,5,NA,,28.8,28.8,6,0.59,Normal,0,,673419056816,2012-10-04T17:54:15.88
4719,4884,1,Wild Hunters,2005,Creator,Model making,Designer Set,630,NA,true,4884-1,https://images.brickset.com/sets/small/4884-1.jpg,https://images.brickset.com/sets/small/4884-1.jpg,https://images.brickset.com/sets/images/4884-1.jpg,https://brickset.com/sets/4884-1,true,false,false,0,,0,1179,500,24.99,30,NA,NA,,,4.5,4,Box,Retail,4,0,NA,,28.8,38.4,7.2,1.01,Normal,0,5702014425569,673419056823,2012-10-04T17:53:56.61
2378,4886,1,Building Bonanza,2004,Creator,Model making,Designer Set,667,NA,true,4886-1,https://images.brickset.com/sets/small/4886-1.jpg,https://images.brickset.com/sets/small/4886-1.jpg,https://images.brickset.com/sets/images/4886-1.jpg,https://brickset.com/sets/4886-1,true,false,false,0,,0,2059,1830,24.99,40,NA,NA,,,4.76923076923077,13,Box,Retail,1,4,NA,,,,,,Normal,0,,673419053990,2004-09-05T06:54:29
4720,4888,1,Underwater Exploration,2005,Creator,Model making,Designer Set,623,NA,true,4888-1,https://images.brickset.com/sets/small/4888-1.jpg,https://images.brickset.com/sets/small/4888-1.jpg,https://images.brickset.com/sets/images/4888-1.jpg,https://brickset.com/sets/4888-1,true,false,false,0,,0,752,828,34.99,40,NA,NA,,,4.6,5,Box,Retail,2,4,NA,,38.4,38.4,7.2,1.19,Normal,0,,673419065184,2012-10-04T17:54:34.057
5170,4892,1,Prehistoric Power,2006,Creator,Model making,,380,NA,true,4892-1,https://images.brickset.com/sets/small/4892-1.jpg,https://images.brickset.com/sets/small/4892-1.jpg,https://images.brickset.com/sets/images/4892-1.jpg,https://brickset.com/sets/4892-1,true,false,false,0,,0,1230,698,14.99,19.99,NA,NA,2008-03-02,2008-04-08,5,3,Box,Retail,5,5,6,12,,,,,Normal,0,,,2018-11-21T15:21:51.74
5311,4893,1,Revvin' Riders,2006,Creator,Model making,,360,NA,true,4893-1,https://images.brickset.com/sets/small/4893-1.jpg,https://images.brickset.com/sets/small/4893-1.jpg,https://images.brickset.com/sets/images/4893-1.jpg,https://brickset.com/sets/4893-1,true,false,false,0,,0,780,328,19.99,20,NA,NA,,,4.5,2,Box,Retail,6,5,NA,,28.8,28.8,6,0.73,Normal,0,,673419079907,2017-12-24T00:01:34.663
5312,4894,1,Mythical Creatures,2006,Creator,Model making,,588,NA,true,4894-1,https://images.brickset.com/sets/small/4894-1.jpg,https://images.brickset.com/sets/small/4894-1.jpg,https://images.brickset.com/sets/images/4894-1.jpg,https://brickset.com/sets/4894-1,true,false,false,0,,0,1340,771,24.99,29.99,NA,NA,2007-10-24,2007-11-12,4.55555555555556,9,Box,Retail,3,5,NA,,28.8,48,6,1.02,Normal,0,5702014469761,673419079914,2012-10-04T17:55:51.84
5313,4895,1,Motion Power,2006,Creator,Model making,,611,NA,true,4895-1,https://images.brickset.com/sets/small/4895-1.jpg,https://images.brickset.com/sets/small/4895-1.jpg,https://images.brickset.com/sets/images/4895-1.jpg,https://brickset.com/sets/4895-1,true,false,false,0,,0,753,354,39.99,49.99,NA,NA,2007-10-24,2007-12-15,4,3,Box,Retail,3,5,NA,,38.4,48,7.2,1.37,Normal,0,,673419079921,2012-10-04T17:56:14.07
5314,4896,1,Roaring Roadsters,2006,Creator,Model making,,931,NA,true,4896-1,https://images.brickset.com/sets/small/4896-1.jpg,https://images.brickset.com/sets/small/4896-1.jpg,https://images.brickset.com/sets/images/4896-1.jpg,https://brickset.com/sets/4896-1,true,false,false,0,,0,1328,919,34.99,60,NA,NA,2007-10-24,2008-04-03,4,5,Box,Retail,4,5,NA,,38.4,48,7.2,1.57,Normal,0,,673419080057,2012-10-04T17:55:34.747
2381,4924,1,Advent Calendar,2004,Creator,Model making,Seasonal,335,NA,true,4924-1,https://images.brickset.com/sets/small/4924-1.jpg,https://images.brickset.com/sets/small/4924-1.jpg,https://images.brickset.com/sets/images/4924-1.jpg,https://brickset.com/sets/4924-1,true,false,false,0,,0,447,188,12.99,15,NA,NA,,,4.66666666666667,3,Box,Retail - limited,4,0,NA,,,,,,Normal,0,5702014366749,,2012-10-08T17:09:25.593
5562,4939,1,Cool Cars,2007,Creator,Model making,,206,NA,true,4939-1,https://images.brickset.com/sets/small/4939-1.jpg,https://images.brickset.com/sets/small/4939-1.jpg,https://images.brickset.com/sets/images/4939-1.jpg,https://brickset.com/sets/4939-1,true,false,false,0,,0,2999,564,7.99,12.99,NA,NA,2007-10-24,2008-09-11,4.46666666666667,15,Box,Retail,5,2,NA,,19.2,28.8,4.8,0.29,Normal,0,5702014499904,673419091503,2012-10-04T17:57:35.917
5564,4953,1,Fast Flyers,2007,Creator,Model making,,312,NA,true,4953-1,https://images.brickset.com/sets/small/4953-1.jpg,https://images.brickset.com/sets/small/4953-1.jpg,https://images.brickset.com/sets/images/4953-1.jpg,https://brickset.com/sets/4953-1,true,false,false,0,,0,2542,846,NA,19.99,NA,NA,2008-03-20,2008-12-19,4.5,12,Box,Retail,3,4,NA,,28.8,28.8,6,0.59,Normal,0,5702014499973,673419091596,2012-10-04T17:57:54.417
5768,4954,1,Model Town House,2007,Creator,Model making,,1174,NA,true,4954-1,https://images.brickset.com/sets/small/4954-1.jpg,https://images.brickset.com/sets/small/4954-1.jpg,https://images.brickset.com/sets/images/4954-1.jpg,https://brickset.com/sets/4954-1,true,false,false,0,,0,3135,4469,44.99,69.99,NA,NA,2007-10-24,2008-09-11,4.28571428571429,14,Box,Retail,4,2,8,12,38.4,57.6,9.6,2.33,Normal,0,,673419091589,2019-01-18T16:48:27.21
6088,4955,1,Big Rig,2007,Creator,Model making,,550,NA,true,4955-1,https://images.brickset.com/sets/small/4955-1.jpg,https://images.brickset.com/sets/small/4955-1.jpg,https://images.brickset.com/sets/images/4955-1.jpg,https://brickset.com/sets/4955-1,true,false,false,0,,0,1419,1039,19.99,30,NA,NA,2007-10-24,2008-04-03,4.25,4,Box,Retail,4,4,7,12,28.8,38.4,7.2,1.07,Normal,0,,673419091657,2019-01-19T19:27:29.617
5563,4956,1,House,2007,Creator,Model making,,731,NA,true,4956-1,https://images.brickset.com/sets/small/4956-1.jpg,https://images.brickset.com/sets/small/4956-1.jpg,https://images.brickset.com/sets/images/4956-1.jpg,https://brickset.com/sets/4956-1,true,false,false,0,,0,4163,3212,36.19,49.99,NA,NA,2007-10-24,2009-11-30,4.46666666666667,15,Box,Retail,6,2,7,12,38.4,48,7.2,1.63,Normal,0,,673419091640,2019-01-20T21:49:34.437
5769,4957,1,Ferris Wheel,2007,Creator,Model making,,1063,NA,true,4957-1,https://images.brickset.com/sets/small/4957-1.jpg,https://images.brickset.com/sets/small/4957-1.jpg,https://images.brickset.com/sets/images/4957-1.jpg,https://brickset.com/sets/4957-1,true,false,false,0,,0,1337,1448,48.95,69.99,NA,NA,2007-10-24,2008-12-02,4.6,5,Box,Retail,5,3,8,12,38.4,57.6,7.2,1.96,Normal,0,,673419091671,2019-01-22T13:21:34.953
6435,4993,1,Cool Convertible,2008,Creator,Model making,,648,NA,true,4993-1,https://images.brickset.com/sets/small/4993-1.jpg,https://images.brickset.com/sets/small/4993-1.jpg,https://images.brickset.com/sets/images/4993-1.jpg,https://brickset.com/sets/4993-1,true,false,false,0,,0,2338,991,39.99,49.99,59.99,NA,2008-05-26,2010-11-18,4.66666666666667,6,Box,Retail,4,3,NA,,28.8,48.01,7.2,1.35,Normal,0,,673419102803,2012-10-04T17:59:24.263
6237,4994,1,Fierce Creatures,2008,Creator,Model making,,193,NA,true,4994-1,https://images.brickset.com/sets/small/4994-1.jpg,https://images.brickset.com/sets/small/4994-1.jpg,https://images.brickset.com/sets/images/4994-1.jpg,https://brickset.com/sets/4994-1,true,false,false,0,,0,1748,486,8.79,12.99,NA,NA,2007-12-07,2009-12-06,4.25,4,Box,Retail,1,5,NA,,19.2,28.8,4.8,0.28,Normal,0,,673419102810,2012-10-08T04:41:59.02
6238,4995,1,Cargo Copter,2008,Creator,Model making,,272,NA,true,4995-1,https://images.brickset.com/sets/small/4995-1.jpg,https://images.brickset.com/sets/small/4995-1.jpg,https://images.brickset.com/sets/images/4995-1.jpg,https://brickset.com/sets/4995-1,true,false,false,0,,0,1766,576,15.65,19.99,NA,NA,2007-12-22,2009-12-12,4.42857142857143,7,Box,Retail,2,5,NA,,28.8,28.8,6,0.6,Normal,0,,673419102827,2012-10-08T04:42:11.807
6231,4996,1,Beach House,2008,Creator,Model making,,522,NA,true,4996-1,https://images.brickset.com/sets/small/4996-1.jpg,https://images.brickset.com/sets/small/4996-1.jpg,https://images.brickset.com/sets/images/4996-1.jpg,https://brickset.com/sets/4996-1,true,false,false,0,,0,7485,2782,24.99,34.99,39.99,NA,2007-12-21,2010-11-28,4.6969696969697,33,Box,Retail,3,5,NA,,28.8,38.4,7.2,1.13,Normal,0,5702014518186,673419102834,2012-10-04T17:59:40.107
6436,4997,1,Transport Ferry,2008,Creator,Model making,,1279,NA,true,4997-1,https://images.brickset.com/sets/small/4997-1.jpg,https://images.brickset.com/sets/small/4997-1.jpg,https://images.brickset.com/sets/images/4997-1.jpg,https://brickset.com/sets/4997-1,true,false,false,0,,0,1563,1401,51.85,69.99,NA,NA,2008-06-27,2009-11-24,5,13,Box,Retail,5,5,NA,,38.4,57.6,9.6,2.24,Normal,0,,673419102841,2012-10-08T04:42:30.25
6437,4998,1,Stegosaurus,2008,Creator,Model making,,731,NA,true,4998-1,https://images.brickset.com/sets/small/4998-1.jpg,https://images.brickset.com/sets/small/4998-1.jpg,https://images.brickset.com/sets/images/4998-1.jpg,https://brickset.com/sets/4998-1,true,false,false,0,,0,1007,829,36.19,49.99,NA,NA,2008-05-26,2009-11-30,4.33333333333333,3,Box,Retail,3,2,NA,,28.8,48,7.2,1.34,Normal,0,,673419102858,2012-10-08T04:42:43.857
9107,5369,1,Creator Tub,2005,Creator,Model making,,700,NA,true,5369-1,https://images.brickset.com/sets/small/5369-1.jpg,https://images.brickset.com/sets/small/5369-1.jpg,https://images.brickset.com/sets/images/5369-1.jpg,https://brickset.com/sets/5369-1,true,false,false,0,,0,82,65,NA,20,NA,NA,,,0,0,Tub,Retail,0,0,NA,,,,,,Normal,0,,,2012-10-08T17:16:58.027
8255,5763,1,Dune Hopper,2011,Creator,Model making,,137,NA,true,5763-1,https://images.brickset.com/sets/small/5763-1.jpg,https://images.brickset.com/sets/small/5763-1.jpg,https://images.brickset.com/sets/images/5763-1.jpg,https://brickset.com/sets/5763-1,true,false,false,0,,0,3010,431,9.99,12.99,17.99,NA,2010-12-25,2012-11-08,4.5,6,Box,Retail,4,10,6,12,14.1,26.19,4.8,0.27,Normal,0,5702014732810,673419143844,2012-10-08T04:27:56.327
8414,5764,1,Rescue Robot,2011,Creator,Model making,,149,NA,true,5764-1,https://images.brickset.com/sets/small/5764-1.jpg,https://images.brickset.com/sets/small/5764-1.jpg,https://images.brickset.com/sets/images/5764-1.jpg,https://brickset.com/sets/5764-1,true,false,false,0,,0,2446,514,13.99,16.99,19.99,NA,2010-12-03,2012-10-16,4,4,Box,Retail,4,11,7,12,26.19,19.1,4.6,0.27,Normal,0,,673419143837,2010-11-14T06:36:27.503
