setid,number,numbervariant,name,year,theme,themegroup,subtheme,pieces,minifigs,image,imagefilename,thumbnailurl,largethumbnailurl,imageurl,brickseturl,released,owned,wanted,qtyowned,usernotes,acmdatacount,ownedbytotal,wantedbytotal,ukretailprice,usretailprice,caretailprice,euretailprice,usdateaddedtosah,usdateremovedfromsah,rating,reviewcount,packagingtype,availability,instructionscount,additionalimagecount,agemin,agemax,height,width,depth,weight,category,userrating,ean,upc,lastupdated
1885,4024,1,Advent Calendar,2003,Creator,Model making,Seasonal,344,NA,true,4024-1,https://images.brickset.com/sets/small/4024-1.jpg,https://images.brickset.com/sets/small/4024-1.jpg,https://images.brickset.com/sets/images/4024-1.jpg,https://brickset.com/sets/4024-1,true,false,false,0,,0,297,194,14.99,15,NA,NA,,,0,0,Box,Retail - limited,0,8,NA,,,,,,Normal,0,,,2015-11-27T15:19:50.387
1900,4047,1,Ultimate Wheels,2003,Creator,Model making,Designer Set,514,NA,true,4047-1,https://images.brickset.com/sets/small/4047-1.jpg,https://images.brickset.com/sets/small/4047-1.jpg,https://images.brickset.com/sets/images/4047-1.jpg,https://brickset.com/sets/4047-1,true,false,false,0,,0,127,172,NA,30,NA,NA,,,0,0,Box,Retail,0,0,NA,,,,,,Collection,0,,,2012-10-08T17:02:00.24
1901,4048,1,Mech Lab,2003,Creator,Model making,Designer Set,554,NA,true,4048-1,https://images.brickset.com/sets/small/4048-1.jpg,https://images.brickset.com/sets/small/4048-1.jpg,https://images.brickset.com/sets/images/4048-1.jpg,https://brickset.com/sets/4048-1,true,false,false,0,,0,359,319,NA,30,NA,NA,,,5,1,Box,Retail,0,0,NA,,,,,,Collection,0,,,2019-10-04T14:40:53.54
1938,4090,1,Motion Madness,2003,Creator,Model making,Inventor Set,243,NA,true,4090-1,https://images.brickset.com/sets/small/4090-1.jpg,https://images.brickset.com/sets/small/4090-1.jpg,https://images.brickset.com/sets/images/4090-1.jpg,https://brickset.com/sets/4090-1,true,false,false,0,,0,682,210,12.99,14.99,NA,NA,,,4.5,4,Box,Retail,2,0,7,99,,,,,Normal,0,,,2019-09-30T19:09:46.65
1939,4093,1,Wild Wind-Up,2003,Creator,Model making,Inventor Set,314,NA,true,4093-1,https://images.brickset.com/sets/small/4093-1.jpg,https://images.brickset.com/sets/small/4093-1.jpg,https://images.brickset.com/sets/images/4093-1.jpg,https://brickset.com/sets/4093-1,true,false,false,0,,0,658,228,19.99,25,NA,NA,,,5,2,Box,Retail,1,0,6,99,,,,,Normal,0,,,2019-09-30T21:36:29.073
1940,4094,1,Motor Movers,2003,Creator,Model making,Inventor Set,255,NA,true,4094-1,https://images.brickset.com/sets/small/4094-1.jpg,https://images.brickset.com/sets/small/4094-1.jpg,https://images.brickset.com/sets/images/4094-1.jpg,https://brickset.com/sets/4094-1,true,false,false,0,,0,815,229,24.99,40,NA,NA,,,5,1,Box,Retail,1,0,NA,,,,,,Normal,0,,,2012-10-03T03:54:18.183
1941,4095,1,Record and Play,2003,Creator,Model making,Inventor Set,345,NA,true,4095-1,https://images.brickset.com/sets/small/4095-1.jpg,https://images.brickset.com/sets/small/4095-1.jpg,https://images.brickset.com/sets/images/4095-1.jpg,https://brickset.com/sets/4095-1,true,false,false,0,,0,431,206,39.99,50,NA,NA,,,4.6,5,Box,Retail,2,0,NA,,,,,,Normal,0,,,2019-09-30T14:26:38.527
1945,4099,1,Robobots,2003,Creator,Model making,Designer Set,325,NA,true,4099-1,https://images.brickset.com/sets/small/4099-1.jpg,https://images.brickset.com/sets/small/4099-1.jpg,https://images.brickset.com/sets/images/4099-1.jpg,https://brickset.com/sets/4099-1,true,false,false,0,,0,948,227,14.99,20,NA,NA,,,4.33333333333333,6,Box,Retail,1,0,NA,,,,,,Normal,0,,,2012-10-03T03:55:53.12
1947,4100,1,Maximum Wheels,2003,Creator,Model making,Designer Set,299,NA,true,4100-1,https://images.brickset.com/sets/small/4100-1.jpg,https://images.brickset.com/sets/small/4100-1.jpg,https://images.brickset.com/sets/images/4100-1.jpg,https://brickset.com/sets/4100-1,true,false,false,0,,0,821,184,14.99,20,NA,NA,,,4.8,10,Box,Retail,1,0,NA,,,,,,Normal,0,,,2012-10-03T03:56:15.13
1948,4101,1,Wild Collection,2003,Creator,Model making,Designer Set,492,NA,true,4101-1,https://images.brickset.com/sets/small/4101-1.jpg,https://images.brickset.com/sets/small/4101-1.jpg,https://images.brickset.com/sets/images/4101-1.jpg,https://brickset.com/sets/4101-1,true,false,false,0,,0,1063,284,24.99,30,NA,NA,,,5,5,Box,Retail,1,0,NA,,,,,,Normal,0,,,2012-10-03T03:56:34.06
